"SP","SPEC","CONF","COMMONNAME","SCINAME","SPEC6","CONF6","lowername"
NA,"HITI",NA,"Highland Tinamou","Nothocercus bonapartei","NOTBON",NA,"highland tinamou"
NA,"GRTI",NA,"Great Tinamou","Tinamus major","TINMAJ",NA,"great tinamou"
NA,"LITI",NA,"Little Tinamou","Crypturellus soui","CRYSOU",NA,"little tinamou"
NA,"THTI",NA,"Thicket Tinamou","Crypturellus cinnamomeus","CRYCIN",NA,"thicket tinamou"
NA,"SBTI",NA,"Slaty-breasted Tinamou","Crypturellus boucardi","CRYBOU",NA,"slaty breasted tinamou"
NA,"CHTI",NA,"Choco Tinamou","Crypturellus kerriae","CRYKER",NA,"choco tinamou"
NA,"WFWD",NA,"White-faced Whistling-Duck","Dendrocygna viduata","DENVID",NA,"white faced whistling duck"
NA,"BBWD",NA,"Black-bellied Whistling-Duck","Dendrocygna autumnalis","DENAUT",NA,"black bellied whistling duck"
NA,"WIWD",NA,"West Indian Whistling-Duck","Dendrocygna arborea","DENARB",NA,"west indian whistling duck"
NA,"FUWD",NA,"Fulvous Whistling-Duck","Dendrocygna bicolor","DENBIC",NA,"fulvous whistling duck"
NA,"EMGO",NA,"Emperor Goose","Anser canagicus","ANSCAN",NA,"emperor goose"
NA,"SNGO",NA,"Snow Goose","Anser caerulescens","ANSCAE",NA,"snow goose"
"+","LSGW",NA,"Lesser Snow Goose White-morph","Anser caerulescens caerulescens","ANSCCA",NA,"lesser snow goose white morph"
"+","LSGI",NA,"Lesser Snow Goose Intermediate-morph","Anser caerulescens caerulescens","ANSCCA",NA,"lesser snow goose intermediate morph"
"+","LSGB",NA,"Lesser Snow Goose Blue-morph","Anser caerulescens caerulescens","ANSCCA",NA,"lesser snow goose blue morph"
"+","GSGW",NA,"Greater Snow Goose White-morph","Anser caerulescens atlantica","ANSCAT",NA,"greater snow goose white morph"
"+","GSGI",NA,"Greater Snow Goose Intermediate-morph","Anser caerulescens atlantica","ANSCAT",NA,"greater snow goose intermediate morph"
"+","GSGB",NA,"Greater Snow Goose Blue-morph","Anser caerulescens atlantica","ANSCAT",NA,"greater snow goose blue morph"
"+","SRGH",NA,"Snow X Ross's Goose Hybrid","Anser caerulescens x rossii","ANSCAR",NA,"snow x rosss goose hybrid"
"+","SRGO",NA,"Snow/Ross's Goose","Anser caerulescens/rossii","ANSCRO",NA,"snow/rosss goose"
NA,"ROGO",NA,"Ross's Goose","Anser rossii","ANSROS",NA,"rosss goose"
NA,"GRGO",NA,"Graylag Goose","Anser anser","ANSANS",NA,"graylag goose"
NA,"GWFG",NA,"Greater White-fronted Goose","Anser albifrons","ANSALB",NA,"greater white fronted goose"
NA,"LWFG",NA,"Lesser White-fronted Goose","Anser erythropus","ANSERY",NA,"lesser white fronted goose"
NA,"TABG",NA,"Taiga Bean-Goose","Anser fabalis","ANSFAB",NA,"taiga bean goose"
NA,"TUBG",NA,"Tundra Bean-Goose","Anser serrirostris","ANSSER",NA,"tundra bean goose"
NA,"PFGO",NA,"Pink-footed Goose","Anser brachyrhynchus","ANSBRA",NA,"pink footed goose"
NA,"BRAN",NA,"Brant","Branta bernicla","BRABER",NA,"brant"
"+","ATBR",NA,"Atlantic Brant","Branta bernicula bernicla","BRABBE",NA,"atlantic brant"
"+","BRIN",NA,"Brant Intergrade","Branta bernicula bernicula x nigrican","BRABBN",NA,"brant intergrade"
"+","BLBR",NA,"Black Brant","Branta bernicula nigricans","BRABNI",NA,"black brant"
NA,"BARG","*","Barnacle Goose","Branta leucopsis","BRALEU",NA,"barnacle goose"
NA,"CACG","*","Cackling Goose","Branta hutchinsii","BRAHUT",NA,"cackling goose"
"+","ACGO",NA,"Aleutian Cackling Goose","Branta hutchinsii leucopareia","BRAHLE",NA,"aleutian cackling goose"
"+","MCGO",NA,"Minima Cackling Goose","Branta  hutchinsii minima","BRAHMI",NA,"minima cackling goose"
"+","CCGO",NA,"Cackling/Canada Goose","Branta  hutchinsii/canadensis","BRAHUC",NA,"cackling/canada goose"
NA,"CANG","*","Canada Goose","Branta canadensis","BRACAN",NA,"canada goose"
"+","LCGO",NA,"Large Canada Goose","Branta canadensis moffitti","BRACMO",NA,"large canada goose"
"+","SCGO",NA,"Small Canada Goose","Branta canadensis parvipes","BRACPA",NA,"small canada goose"
NA,"HAGO",NA,"Hawaiian Goose","Branta sandvicensis","BRASAN",NA,"hawaiian goose"
"+","UNGO",NA,"Unidentified Goose","Anserinae (gen. sp.)","ANSGSP",NA,"unidentified goose"
NA,"MUSW",NA,"Mute Swan","Cygnus olor","CYGOLO",NA,"mute swan"
NA,"TRUS","*","Trumpeter Swan","Cygnus buccinator","CYGBUC",NA,"trumpeter swan"
NA,"TUSW",NA,"Tundra Swan","Cygnus columbianus","CYGCOL",NA,"tundra swan"
"+","WHSW",NA,"Whistling Swan","Cygnus columbianus columbianus","CYGCCO",NA,"whistling swan"
"+","BESW",NA,"Bewick's Swan","Cygnus columbianus bewickii","CYGCBE",NA,"bewicks swan"
NA,"WHOS","*","Whooper Swan","Cygnus cygnus","CYGCYG",NA,"whooper swan"
NA,"CODU",NA,"Comb Duck","Sarkidiornis melanotos","SARMEL",NA,"comb duck"
NA,"ORGO",NA,"Orinoco Goose","Neochen jubata","NEOJUB",NA,"orinoco goose"
NA,"EGGO",NA,"Egyptian Goose","Alopochen aegyptiaca","ALOAEG",NA,"egyptian goose"
NA,"COMS","*","Common Shelduck","Tadorna tadorna","TADTAD",NA,"common shelduck"
NA,"RUSH",NA,"Ruddy Shelduck","Tadorna ferruginea","TADFER",NA,"ruddy shelduck"
NA,"MUDU",NA,"Muscovy Duck","Cairina moschata","CAIMOS",NA,"muscovy duck"
NA,"WODU",NA,"Wood Duck","Aix sponsa","AIXSPO",NA,"wood duck"
NA,"BATE",NA,"Baikal Teal","Sibirionetta formosa","SIBFOR",NA,"baikal teal"
NA,"GARG",NA,"Garganey","Spatula querquedula","SPAQUE",NA,"garganey"
NA,"BWTE",NA,"Blue-winged Teal","Spatula discors","SPADIS",NA,"blue winged teal"
NA,"CITE",NA,"Cinnamon Teal","Spatula cyanoptera","SPACYA",NA,"cinnamon teal"
"+","UNTE",NA,"Unidentified Teal","Anas (sp)","SPASPE",NA,"unidentified teal"
NA,"NSHO","*","Northern Shoveler","Spatula clypeata","SPACLY",NA,"northern shoveler"
NA,"GADW",NA,"Gadwall","Mareca strepera","MARSTR",NA,"gadwall"
NA,"FADU",NA,"Falcated Duck","Mareca falcata","MARFAL",NA,"falcated duck"
NA,"EUWI",NA,"Eurasian Wigeon","Mareca penelope","MARPEN",NA,"eurasian wigeon"
NA,"AMWI",NA,"American Wigeon","Mareca americana","MARAME",NA,"american wigeon"
NA,"LAYD","*","Laysan Duck","Anas laysanensis","ANALAY",NA,"laysan duck"
NA,"HAWD","*","Hawaiian Duck","Anas wyvilliana","ANAWYV",NA,"hawaiian duck"
NA,"ESBD",NA,"Eastern Spot-billed Duck","Anas zonorhyncha","ANAZON",NA,"eastern spot billed duck"
NA,"MALL",NA,"Mallard","Anas platyrhynchos","ANAPLA",NA,"mallard"
"+","MEDU",NA,"Mexican Duck","Anas platyrhynchos diazi","ANAPDI",NA,"mexican duck"
"+","ABDH",NA,"American Black Duck X Mallard Hybrid","Anas rubripes x platyrhynchos","ANARUP",NA,"american black duck x mallard hybrid"
NA,"ABDU",NA,"American Black Duck","Anas rubripes","ANARUB",NA,"american black duck"
NA,"MODU",NA,"Mottled Duck","Anas fulvigula","ANAFUL",NA,"mottled duck"
NA,"WCHP","*","White-cheeked Pintail","Anas bahamensis","ANABAH",NA,"white cheeked pintail"
NA,"NOPI",NA,"Northern Pintail","Anas acuta","ANAACU",NA,"northern pintail"
NA,"GWTE",NA,"Green-winged Teal","Anas crecca","ANACRE",NA,"green winged teal"
"+","AGWT",NA,"American Green-winged Teal","Anas crecca carolinensis","ANACCA",NA,"american green winged teal"
"+","EGWT",NA,"Eurasian Green-winged Teal","Anas crecca crecca","ANACCR",NA,"eurasian green winged teal"
NA,"CANV",NA,"Canvasback","Aythya valisineria","AYTVAL",NA,"canvasback"
NA,"REDH",NA,"Redhead","Aythya americana","AYTAME",NA,"redhead"
NA,"COMP","*","Common Pochard","Aythya ferina","AYTFER",NA,"common pochard"
NA,"RNDU",NA,"Ring-necked Duck","Aythya collaris","AYTCOL",NA,"ring necked duck"
NA,"TUDU",NA,"Tufted Duck","Aythya fuligula","AYTFUL",NA,"tufted duck"
NA,"GRSC",NA,"Greater Scaup","Aythya marila","AYTMAR",NA,"greater scaup"
NA,"LESC",NA,"Lesser Scaup","Aythya affinis","AYTAFF",NA,"lesser scaup"
NA,"STEI",NA,"Steller's Eider","Polysticta stelleri","POLSTE",NA,"stellers eider"
NA,"SPEI",NA,"Spectacled Eider","Somateria fischeri","SOMFIS",NA,"spectacled eider"
NA,"KIEI",NA,"King Eider","Somateria spectabilis","SOMSPE",NA,"king eider"
NA,"COEI",NA,"Common Eider","Somateria mollissima","SOMMOL",NA,"common eider"
NA,"HADU",NA,"Harlequin Duck","Histrionicus histrionicus","HISHIS",NA,"harlequin duck"
NA,"LABD","*","Labrador Duck","Camptorhynchus labradorius","CAMLAB",NA,"labrador duck"
NA,"SUSC",NA,"Surf Scoter","Melanitta perspicillata","MELPER",NA,"surf scoter"
NA,"WWSC",NA,"White-winged Scoter","Melanitta fusca","MENFUS","*","white winged scoter"
NA,"COSC",NA,"Common Scoter","Melanitta nigra","MENNIG",NA,"common scoter"
NA,"BLSC",NA,"Black Scoter","Melanitta americana","MELAME",NA,"black scoter"
NA,"LTDU",NA,"Long-tailed Duck","Clangula hyemalis","CLAHYE",NA,"long tailed duck"
NA,"BUFF",NA,"Bufflehead","Bucephala albeola","BUCALB",NA,"bufflehead"
NA,"COGO",NA,"Common Goldeneye","Bucephala clangula","BUCCLA",NA,"common goldeneye"
NA,"BAGO",NA,"Barrow's Goldeneye","Bucephala islandica","BUCISL",NA,"barrows goldeneye"
NA,"SMEW",NA,"Smew","Mergellus albellus","MERALB",NA,"smew"
NA,"HOME",NA,"Hooded Merganser","Lophodytes cucullatus","LOPCUC",NA,"hooded merganser"
NA,"COME",NA,"Common Merganser","Mergus merganser","MERMER",NA,"common merganser"
NA,"RBME",NA,"Red-breasted Merganser","Mergus serrator","MERSER",NA,"red breasted merganser"
NA,"MADU",NA,"Masked Duck","Nomonyx dominicus","NOMDOM",NA,"masked duck"
NA,"RUDU",NA,"Ruddy Duck","Oxyura jamaicensis","OXYJAM",NA,"ruddy duck"
"+","UNDU",NA,"Unidentified Duck","Anatinae (gen, sp)","ANAGSP",NA,"unidentified duck"
NA,"PLCH",NA,"Plain Chachalaca","Ortalis vetula","ORTVET",NA,"plain chachalaca"
NA,"GHEC","*","Gray-headed Chachalaca","Ortalis cinereiceps","ORTCIN",NA,"gray headed chachalaca"
NA,"RVCH",NA,"Rufous-vented Chachalaca","Ortalis ruficauda","ORTRUF",NA,"rufous vented chachalaca"
NA,"RBEC","*","Rufous-bellied Chachalaca","Ortalis wagleri","ORTWAG",NA,"rufous bellied chachalaca"
NA,"WMCH",NA,"West Mexican Chachalaca","Ortalis poliocephala","ORTPOL",NA,"west mexican chachalaca"
NA,"WBCH",NA,"White-bellied Chachalaca","Ortalis leucogastra","ORTLEU",NA,"white bellied chachalaca"
NA,"CRGU",NA,"Crested Guan","Penelope purpurascens","PENPUR",NA,"crested guan"
NA,"BLAG","*","Black Guan","Chamaepetes unicolor","CHAUNI",NA,"black guan"
NA,"HIGU",NA,"Highland Guan","Penelopina nigra","PENNIG",NA,"highland guan"
NA,"HOGU",NA,"Horned Guan","Oreophasis derbianus","OREDER",NA,"horned guan"
NA,"GRCU",NA,"Great Curassow","Crax rubra","CRARUB",NA,"great curassow"
NA,"HELG","*","Helmeted Guineafowl","Numida meleagris","NUMMEL",NA,"helmeted guineafowl"
NA,"TFQU",NA,"Tawny-faced Quail","Rhynchortyx cinctus","RHYCIN",NA,"tawny faced quail"
NA,"MOUQ","*","Mountain Quail","Oreortyx pictus","OREPIC",NA,"mountain quail"
NA,"BEWP",NA,"Bearded Wood-Partridge","Dendrortyx barbatus","DENBAR",NA,"bearded wood partridge"
NA,"LTWP",NA,"Long-tailed Wood-Partridge","Dendrortyx macroura","DENMAC",NA,"long tailed wood partridge"
NA,"BCWP",NA,"Buffy-crowned Wood-Partridge","Dendrortyx leucophrys","DENLEU",NA,"buffy crowned wood partridge"
NA,"BAQU",NA,"Banded Quail","Philortyx fasciatus","PHIFAS",NA,"banded quail"
NA,"NOBO",NA,"Northern Bobwhite","Colinus virginianus","COLVIR",NA,"northern bobwhite"
NA,"BTBO",NA,"Black-throated Bobwhite","Colinus nigrogularis","COLNIG",NA,"black throated bobwhite"
NA,"CRBO",NA,"Crested Bobwhite","Colinus cristatus","COLCRI",NA,"crested bobwhite"
NA,"SCQU",NA,"Scaled Quail","Callipepla squamata","CALSQU",NA,"scaled quail"
NA,"ELQU",NA,"Elegant Quail","Callipepla douglasii","CALDOU",NA,"elegant quail"
NA,"CAQU",NA,"California Quail","Callipepla californica","CALCAF","*","california quail"
NA,"GAQU",NA,"Gambel's Quail","Callipepla gambelii","CALGAM",NA,"gambels quail"
NA,"MONQ","*","Montezuma Quail","Cyrtonyx montezumae","CYRMON",NA,"montezuma quail"
NA,"OCQU",NA,"Ocellated Quail","Cyrtonyx ocellatus","CYROCE",NA,"ocellated quail"
NA,"SIQU",NA,"Singing Quail","Dactylortyx thoracicus","DACTHO",NA,"singing quail"
NA,"MAWQ",NA,"Marbled Wood-Quail","Odontophorus gujanensis","ODOGUJ",NA,"marbled wood quail"
NA,"BEWQ",NA,"Black-eared Wood-Quail","Odontophorus melanotis","ODOMEL",NA,"black eared wood quail"
NA,"TAWQ",NA,"Tacarcuna Wood-Quail","Odontophorus dialeucos","ODODIA",NA,"tacarcuna wood quail"
NA,"BBWQ",NA,"Black-breasted Wood-Quail","Odontophorus leucolaemus","ODOLEU",NA,"black breasted wood quail"
NA,"SPWQ",NA,"Spotted Wood-Quail","Odontophorus guttatus","ODOGUT",NA,"spotted wood quail"
NA,"CHUK",NA,"Chukar","Alectoris chukar","ALECHU",NA,"chukar"
NA,"GRAF","*","Gray Francolin","Francolinus pondicerianus","FRAPON",NA,"gray francolin"
NA,"BLFR",NA,"Black Francolin","Francolinus francolinus","FRAFRA",NA,"black francolin"
NA,"ERFR",NA,"Erckel's Francolin","Francolinus erckelii","FRAERC",NA,"erckels francolin"
NA,"HISN",NA,"Himalayan Snowcock","Tetraogallus himalayensis","TETHIM",NA,"himalayan snowcock"
NA,"GRAP","*","Gray Partridge","Perdix perdix","PERPER",NA,"gray partridge"
NA,"JAQU",NA,"Japanese Quail","Coturnix japonica","COTJAP",NA,"japanese quail"
NA,"REJU",NA,"Red Junglefowl","Gallus gallus","GALGAS","*","red junglefowl"
NA,"KAPH",NA,"Kalij Pheasant","Lophura leucomelanos","LOPLEU",NA,"kalij pheasant"
NA,"RNEP","*","Ring-necked Pheasant","Phasianus colchicus","PHACOL",NA,"ring necked pheasant"
NA,"INPE",NA,"Indian Peafowl","Pavo cristatus","PAVCRI",NA,"indian peafowl"
NA,"RUGR",NA,"Ruffed Grouse","Bonasa umbellus","BONUMB",NA,"ruffed grouse"
NA,"GRSG",NA,"Greater Sage-Grouse","Centrocercus urophasianus","CENURO",NA,"greater sage grouse"
NA,"GUSG",NA,"Gunnison Sage-Grouse","Centrocercus minimus","CENMIN",NA,"gunnison sage grouse"
NA,"SPGR",NA,"Spruce Grouse","Falcipennis canadensis","FALCAN",NA,"spruce grouse"
NA,"WIPT",NA,"Willow Ptarmigan","Lagopus lagopus","LAGLAG",NA,"willow ptarmigan"
NA,"ROPT",NA,"Rock Ptarmigan","Lagopus muta","LAGMUT",NA,"rock ptarmigan"
NA,"WTPT",NA,"White-tailed Ptarmigan","Lagopus leucura","LAGLEU",NA,"white tailed ptarmigan"
NA,"DUGR",NA,"Dusky Grouse","Dendragapus obscurus","DENOBS",NA,"dusky grouse"
NA,"SOGR",NA,"Sooty Grouse","Dendragapus fuliginosus","DENFUU","*","sooty grouse"
NA,"STGR",NA,"Sharp-tailed Grouse","Tympanuchus phasianellus","TYMPHA",NA,"sharp tailed grouse"
NA,"GRPC",NA,"Greater Prairie-Chicken","Tympanuchus cupido","TYMCUP",NA,"greater prairie chicken"
NA,"LEPC",NA,"Lesser Prairie-Chicken","Tympanuchus pallidicinctus","TYMPAL",NA,"lesser prairie chicken"
NA,"WITU",NA,"Wild Turkey","Meleagris gallopavo","MELGAL",NA,"wild turkey"
NA,"OCTU",NA,"Ocellated Turkey","Meleagris ocellata","MELOCE",NA,"ocellated turkey"
NA,"AMFL",NA,"American Flamingo","Phoenicopterus ruber","PHORUB",NA,"american flamingo"
NA,"LEGR",NA,"Least Grebe","Tachybaptus dominicus","TACDOM",NA,"least grebe"
NA,"PBGR",NA,"Pied-billed Grebe","Podilymbus podiceps","PODPOD",NA,"pied billed grebe"
NA,"ATGR",NA,"Atitlan Grebe","Podilymbus gigas","PODGIG",NA,"atitlan grebe"
NA,"HOGR",NA,"Horned Grebe","Podiceps auritus","PODAUR",NA,"horned grebe"
NA,"RNGR",NA,"Red-necked Grebe","Podiceps grisegena","PODGRI",NA,"red necked grebe"
NA,"EAGR",NA,"Eared Grebe","Podiceps nigricollis","PODNIG",NA,"eared grebe"
NA,"WEGR",NA,"Western Grebe","Aechmophorus occidentalis","AECOCC",NA,"western grebe"
NA,"CLGR",NA,"Clark's Grebe","Aechmophorus clarkii","AECCLA",NA,"clarks grebe"
NA,"CBSA",NA,"Chestnut-bellied Sandgrouse","Pterocles exustus","PTEEXU",NA,"chestnut bellied sandgrouse"
NA,"ROPI",NA,"Rock Pigeon","Columba livia","COLLIV",NA,"rock pigeon"
NA,"PVPI",NA,"Pale-vented Pigeon","Patagioenas cayennensis","PATCAY",NA,"pale vented pigeon"
NA,"SCPI",NA,"Scaled Pigeon","Patagioenas speciosa","PATSPE",NA,"scaled pigeon"
NA,"SNPI",NA,"Scaly-naped Pigeon","Patagioenas squamosa","PATSQU",NA,"scaly naped pigeon"
NA,"WCPI",NA,"White-crowned Pigeon","Patagioenas leucocephala","PATLEU",NA,"white crowned pigeon"
NA,"RBPI",NA,"Red-billed Pigeon","Patagioenas flavirostris","PATFLA",NA,"red billed pigeon"
NA,"PLAP","*","Plain Pigeon","Patagioenas inornata","PATINO",NA,"plain pigeon"
NA,"BTPI",NA,"Band-tailed Pigeon","Patagioenas fasciata","PATFAS",NA,"band tailed pigeon"
NA,"RTAP","*","Ring-tailed Pigeon","Patagioenas caribaea","PATCAR",NA,"ring tailed pigeon"
NA,"PLUP","*","Plumbeous Pigeon","Patagioenas plumbea","PATPLU",NA,"plumbeous pigeon"
NA,"RUDP","*","Ruddy Pigeon","Patagioenas subvinacea","PATSUB",NA,"ruddy pigeon"
NA,"SBPI",NA,"Short-billed Pigeon","Patagioenas nigrirostris","PATNIG",NA,"short billed pigeon"
NA,"DUPI",NA,"Dusky Pigeon","Patagioenas goodsoni","PATGOO",NA,"dusky pigeon"
NA,"ORTD",NA,"Oriental Turtle-Dove","Streptopelia orientalis","STRORI",NA,"oriental turtle dove"
NA,"AFCD",NA,"African Collared-Dove","Streptopelia roseogrisea","STRROS",NA,"african collared dove"
NA,"EUTD",NA,"European Turtle-Dove","Streptopelia turtur","STRTUR",NA,"european turtle dove"
NA,"EUCD",NA,"Eurasian Collared-Dove","Streptopelia decaocto","STRDEC",NA,"eurasian collared dove"
NA,"SPDO",NA,"Spotted Dove","Streptopelia chinensis","STRCHI",NA,"spotted dove"
NA,"ZEBD","*","Zebra Dove","Geopelia striata","GEOSTR",NA,"zebra dove"
NA,"PAPI",NA,"Passenger Pigeon","Ectopistes migratorius","ECTMIG",NA,"passenger pigeon"
NA,"INDO",NA,"Inca Dove","Columbina inca","COLINC",NA,"inca dove"
NA,"COGD",NA,"Common Ground-Dove","Columbina passerina","COLPAS",NA,"common ground dove"
NA,"PBGD",NA,"Plain-breasted Ground-Dove","Columbina minuta","COLMIN",NA,"plain breasted ground dove"
NA,"RUGD",NA,"Ruddy Ground-Dove","Columbina talpacoti","COLTAL",NA,"ruddy ground dove"
NA,"BLGD",NA,"Blue Ground-Dove","Claravis pretiosa","CLAPRE",NA,"blue ground dove"
NA,"MCGD",NA,"Maroon-chested Ground-Dove","Claravis mondetoura","CLAMON",NA,"maroon chested ground dove"
NA,"BHQD",NA,"Blue-headed Quail-Dove","Starnoenas cyanocephala","STACYA",NA,"blue headed quail dove"
NA,"CRQD",NA,"Crested Quail-Dove","Geotrygon versicolor","GEOVER",NA,"crested quail dove"
NA,"RUQD",NA,"Ruddy Quail-Dove","Geotrygon montana","GEOMON",NA,"ruddy quail dove"
NA,"VIQD",NA,"Violaceous Quail-Dove","Geotrygon violacea","GEOVIO",NA,"violaceous quail dove"
NA,"GFQD",NA,"Gray-fronted Quail-Dove","Geotrygon caniceps","GEOCAN",NA,"gray fronted quail dove"
NA,"WFRQ","*","White-fronted Quail-Dove","Geotrygon leucometopia","GEOLEU",NA,"white fronted quail dove"
NA,"KWQD",NA,"Key West Quail-Dove","Geotrygon chrysia","GEOCHR",NA,"key west quail dove"
NA,"BRQD",NA,"Bridled Quail-Dove","Geotrygon mystacea","GEOMYS",NA,"bridled quail dove"
NA,"OBQD",NA,"Olive-backed Quail-Dove","Leptotrygon veraguensis","LEPVEG","*","olive backed quail dove"
NA,"WTDO",NA,"White-tipped Dove","Leptotila verreauxi","LEPVEX","*","white tipped dove"
NA,"CADO",NA,"Caribbean Dove","Leptotila jamaicensis","LEPJAM",NA,"caribbean dove"
NA,"GCDO",NA,"Gray-chested Dove","Leptotila cassinii","LEPCAS",NA,"gray chested dove"
NA,"GHDO",NA,"Gray-headed Dove","Leptotila plumbeiceps","LEPPLU",NA,"gray headed dove"
NA,"GRDO",NA,"Grenada Dove","Leptotila wellsi","LEPWEL",NA,"grenada dove"
NA,"TUQD",NA,"Tuxtla Quail-Dove","Zentrygon carrikeri","ZENCAR",NA,"tuxtla quail dove"
NA,"BFQD",NA,"Buff-fronted Quail-Dove","Zentrygon costaricensis","ZENCOS",NA,"buff fronted quail dove"
NA,"PBQD",NA,"Purplish-backed Quail-Dove","Zentrygon lawrencii","ZENLAW",NA,"purplish backed quail dove"
NA,"WFAQ","*","White-faced Quail-Dove","Zentrygon albifacies","ZENALB",NA,"white faced quail dove"
NA,"CHQD",NA,"Chiriqui Quail-Dove","Zentrygon chiriquensis","ZENCHI",NA,"chiriqui quail dove"
NA,"RCQD",NA,"Russet-crowned Quail-Dove","Zentrygon goldmani","ZENGOL",NA,"russet crowned quail dove"
NA,"WWDO",NA,"White-winged Dove","Zenaida asiatica","ZENASI",NA,"white winged dove"
NA,"ZEND","*","Zenaida Dove","Zenaida aurita","ZENAUT","*","zenaida dove"
NA,"EADO",NA,"Eared Dove","Zenaida auriculata","ZENAUC","*","eared dove"
NA,"MODO",NA,"Mourning Dove","Zenaida macroura","ZENMAC",NA,"mourning dove"
NA,"SODO",NA,"Socorro Dove","Zenaida graysoni","ZENGRA",NA,"socorro dove"
NA,"COCU",NA,"Common Cuckoo","Cuculus canorus","CUCCAN",NA,"common cuckoo"
NA,"ORCU",NA,"Oriental Cuckoo","Cuculus optatus","CUCOPT",NA,"oriental cuckoo"
NA,"LITC","*","Little Cuckoo","Coccycua minuta","COCMIT","*","little cuckoo"
NA,"SQCU",NA,"Squirrel Cuckoo","Piaya cayana","PIACAY",NA,"squirrel cuckoo"
NA,"DBCU",NA,"Dark-billed Cuckoo","Coccyzus melacoryphus","COCMEL",NA,"dark billed cuckoo"
NA,"YBCU",NA,"Yellow-billed Cuckoo","Coccyzus americanus","COCAME",NA,"yellow billed cuckoo"
NA,"PBCU",NA,"Pearly-breasted Cuckoo","Coccyzus euleri","COCEUL",NA,"pearly breasted cuckoo"
NA,"MACU",NA,"Mangrove Cuckoo","Coccyzus minor","COCMIR","*","mangrove cuckoo"
NA,"COCC","*","Cocos Cuckoo","Coccyzus ferrugineus","COCFER",NA,"cocos cuckoo"
NA,"BBCU",NA,"Black-billed Cuckoo","Coccyzus erythropthalmus","COCERY",NA,"black billed cuckoo"
NA,"CBCU",NA,"Chestnut-bellied Cuckoo","Coccyzus pluvialis","COCPLU",NA,"chestnut bellied cuckoo"
NA,"BBRC","*","Bay-breasted Cuckoo","Coccyzus rufigularis","COCRUF",NA,"bay breasted cuckoo"
NA,"JALC",NA,"Jamaican Lizard-Cuckoo","Coccyzus vetula","COCVET",NA,"jamaican lizard cuckoo"
NA,"PRLC",NA,"Puerto Rican Lizard-Cuckoo","Coccyzus vieilloti","COCVIE",NA,"puerto rican lizard cuckoo"
NA,"GRLC",NA,"Great Lizard-Cuckoo","Coccyzus merlini","COCMER",NA,"great lizard cuckoo"
NA,"HILC",NA,"Hispaniolan Lizard-Cuckoo","Coccyzus longirostris","COCLON",NA,"hispaniolan lizard cuckoo"
NA,"STCU",NA,"Striped Cuckoo","Tapera naevia","TAPNAE",NA,"striped cuckoo"
NA,"PHCU",NA,"Pheasant Cuckoo","Dromococcyx phasianellus","DROPHA",NA,"pheasant cuckoo"
NA,"LEGC",NA,"Lesser Ground-Cuckoo","Morococcyx erythropygus","MORERY",NA,"lesser ground cuckoo"
NA,"LERO",NA,"Lesser Roadrunner","Geococcyx velox","GEOVEL",NA,"lesser roadrunner"
NA,"GRRO",NA,"Greater Roadrunner","Geococcyx californianus","GEOCAL",NA,"greater roadrunner"
NA,"RVGC",NA,"Rufous-vented Ground-Cuckoo","Neomorphus geoffroyi","NEOGEO",NA,"rufous vented ground cuckoo"
NA,"GRTA","*","Greater Ani","Crotophaga major","CROMAJ",NA,"greater ani"
NA,"SBAN",NA,"Smooth-billed Ani","Crotophaga ani","CROANI",NA,"smooth billed ani"
NA,"GBAN",NA,"Groove-billed Ani","Crotophaga sulcirostris","CROSUL",NA,"groove billed ani"
NA,"SHTN","*","Short-tailed Nighthawk","Lurocalis semitorquatus","LURSEM",NA,"short tailed nighthawk"
NA,"LENI",NA,"Lesser Nighthawk","Chordeiles acutipennis","CHOACU",NA,"lesser nighthawk"
NA,"CONI",NA,"Common Nighthawk","Chordeiles minor","CHOMIN",NA,"common nighthawk"
NA,"ANNI",NA,"Antillean Nighthawk","Chordeiles gundlachii","CHOGUN",NA,"antillean nighthawk"
NA,"COPA",NA,"Common Pauraque","Nyctidromus albicollis","NYCALB",NA,"common pauraque"
NA,"COPO",NA,"Common Poorwill","Phalaenoptilus nuttallii","PHANUT",NA,"common poorwill"
NA,"JAPA",NA,"Jamaican Pauraque","Siphonorhis americana","SIPAME",NA,"jamaican pauraque"
NA,"LEPA",NA,"Least Pauraque","Siphonorhis brewsteri","SIPBRE",NA,"least pauraque"
NA,"EAPO",NA,"Eared Poorwill","Nyctiphrynus mcleodii","NYCMCL",NA,"eared poorwill"
NA,"YUPO",NA,"Yucatan Poorwill","Nyctiphrynus yucatanicus","NYCYUC",NA,"yucatan poorwill"
NA,"OCPO",NA,"Ocellated Poorwill","Nyctiphrynus ocellatus","NYCOCE",NA,"ocellated poorwill"
NA,"CWWI",NA,"Chuck-will's-widow","Antrostomus carolinensis","ANTCAR",NA,"chuck wills widow"
NA,"RUNI",NA,"Rufous Nightjar","Antrostomus rufus","ANTRUF",NA,"rufous nightjar"
NA,"GANI",NA,"Greater Antillean Nightjar","Antrostomus cubanensis","ANTCUB",NA,"greater antillean nightjar"
NA,"TCNI",NA,"Tawny-collared Nightjar","Antrostomus salvini","ANTSAL",NA,"tawny collared nightjar"
NA,"YUNI",NA,"Yucatan Nightjar","Antrostomus badius","ANTBAD",NA,"yucatan nightjar"
